Year_Fraction,Smoothed_GIA
1993.0115260,-37.66
1993.0386920,-39.06
1993.0658580,-39.63
1993.0930250,-39.38
1993.1201910,-38.48
1993.1473570,-37.35
1993.1745230,-36.48
1993.2016890,-36.10
1993.2288550,-36.12
1993.2560210,-36.26
1993.2831880,-36.33
1993.3103540,-36.38
1993.3375200,-36.51
1993.3646860,-36.55
1993.3918520,-36.65
1993.4190180,-36.20
1993.4461850,-35.35
1993.4733510,-34.37
1993.5005170,-33.51
1993.5276830,-32.86
1993.5548490,-32.26
1993.5820150,-31.47
1993.6091810,-30.45
1993.6363480,-29.39
1993.6635140,-28.48
1993.6906800,-27.82
1993.7178460,-27.45
1993.7450120,-27.01
1993.7721780,-26.83
1993.7993450,-26.94
1993.8265110,-27.34
1993.8536770,-27.85
1993.8808430,-28.24
1993.9080090,-28.38
1993.9351750,-28.41
1993.9623410,-28.63
1993.9895080,-29.22
1994.0166740,-30.09
1994.0438400,-31.00
1994.0710060,-31.75
1994.0981720,-32.24
1994.1253380,-32.36
1994.1525050,-32.08
1994.1796710,-31.53
1994.2068370,-30.98
1994.2340030,-30.67
1994.2611690,-30.74
1994.2883350,-31.19
1994.3155010,-31.95
1994.3426680,-32.81
1994.3698340,-33.45
1994.3970000,-33.69
1994.4241660,-33.56
1994.4513320,-33.25
1994.4784980,-32.83
1994.5056640,-32.17
1994.5328310,-31.10
1994.5599970,-29.61
1994.5871630,-27.90
1994.6143290,-26.26
1994.6414950,-24.86
1994.6686610,-23.81
1994.6958280,-23.09
1994.7229940,-22.61
1994.7501600,-22.25
1994.7773260,-21.99
1994.8044920,-21.95
1994.8316580,-22.25
1994.8588240,-22.84
1994.8859910,-23.47
1994.9131570,-23.86
1994.9403230,-23.92
1994.9674890,-23.86
1994.9946550,-23.91
1995.0218210,-24.19
1995.0489880,-24.68
1995.0761540,-25.31
1995.1033200,-25.94
1995.1304860,-26.33
1995.1576520,-26.38
1995.1848180,-26.24
1995.2119840,-26.20
1995.2391510,-26.44
1995.2663170,-26.93
1995.2934830,-27.50
1995.3206490,-28.01
1995.3478150,-28.29
1995.3749810,-28.28
1995.4021480,-28.11
1995.4293140,-28.07
1995.4564800,-28.32
1995.4836460,-28.69
1995.5108120,-28.76
1995.5379780,-28.18
1995.5651440,-26.91
1995.5923110,-25.20
1995.6194770,-23.32
1995.6466430,-21.45
1995.6738090,-19.67
1995.7009750,-18.21
1995.7281410,-17.90
1995.7553070,-17.40
1995.7824740,-18.04
1995.8096400,-18.87
1995.8368060,-19.55
1995.8639720,-20.00
1995.8911380,-20.34
1995.9183040,-20.80
1995.9454710,-21.48
1995.9726370,-22.36
1995.9998030,-23.30
1996.0268950,-23.95
1996.0539870,-24.63
1996.0810790,-24.51
1996.1081710,-24.44
1996.1352630,-24.18
1996.1623550,-24.19
1996.1894470,-24.67
1996.2165390,-25.67
1996.2436310,-26.96
1996.2707230,-28.14
1996.2978150,-28.92
1996.3249070,-29.22
1996.3519980,-29.11
1996.3790900,-28.70
1996.4061820,-28.35
1996.4332740,-27.97
1996.4603660,-27.49
1996.4874580,-26.77
1996.5145500,-25.75
1996.5416420,-24.62
1996.5687340,-23.72
1996.5958260,-23.19
1996.6229180,-22.87
1996.6500100,-22.37
1996.6771020,-21.39
1996.7041940,-19.96
1996.7312850,-18.39
1996.7583770,-17.03
1996.7854690,-16.10
1996.8125610,-15.79
1996.8396530,-16.23
1996.8667450,-17.47
1996.8938370,-19.28
1996.9209290,-21.26
1996.9480210,-23.02
1996.9751130,-24.31
1997.0022110,-25.04
1997.0293770,-25.34
1997.0565430,-25.42
1997.0837090,-25.44
1997.1108750,-25.43
1997.1380420,-25.36
1997.1652080,-25.19
1997.1923740,-24.98
1997.2195400,-24.84
1997.2467060,-24.85
1997.2738720,-24.94
1997.3010380,-24.96
1997.3282050,-24.85
1997.3553710,-24.71
1997.3825370,-24.64
1997.4097030,-24.58
1997.4368690,-24.28
1997.4640350,-23.43
1997.4912020,-21.95
1997.5183680,-20.09
1997.5455340,-18.25
1997.5727000,-16.64
1997.5998660,-15.24
1997.6270320,-13.82
1997.6541980,-12.29
1997.6813650,-10.78
1997.7085310,-9.57
1997.7356970,-8.88
1997.7628630,-8.71
1997.7900290,-8.93
1997.8171950,-9.44
1997.8443620,-10.32
1997.8715280,-11.58
1997.8986940,-13.07
1997.9258600,-14.47
1997.9530260,-15.49
1997.9801920,-16.08
1998.0073580,-16.40
1998.0345250,-16.68
1998.0616910,-17.09
1998.0888570,-17.64
1998.1160230,-18.21
1998.1431890,-18.73
1998.1703550,-19.15
1998.1975210,-19.47
1998.2246880,-19.68
1998.2518540,-19.84
1998.2790200,-20.10
1998.3061860,-20.68
1998.3333520,-21.71
1998.3605180,-23.05
1998.3876850,-24.32
1998.4148510,-25.06
1998.4420170,-25.08
1998.4691830,-24.58
1998.4963490,-23.94
1998.5235150,-23.43
1998.5506810,-22.99
1998.5778480,-22.38
1998.6050140,-21.48
1998.6321800,-20.45
1998.6593460,-19.55
1998.6865120,-18.98
1998.7136780,-18.72
1998.7408450,-18.62
1998.7680110,-18.59
1998.7951770,-18.73
1998.8223430,-19.18
1998.8495090,-19.91
1998.8766750,-20.68
1998.9038410,-21.23
1998.9310080,-21.55
1998.9581740,-21.80
1998.9853400,-22.13
1999.0125060,-22.49
1999.0396720,-22.69
1999.0668380,-22.59
1999.0940050,-22.23
1999.1211710,-21.90
1999.1483370,-21.83
1999.1755030,-22.07
1999.2026690,-22.41
1999.2298350,-22.72
1999.2570010,-23.03
1999.2841680,-23.45
1999.3113340,-23.99
1999.3385000,-24.54
1999.3656660,-24.94
1999.3928320,-25.08
1999.4199980,-24.89
1999.4471640,-24.42
1999.4743310,-23.56
1999.5014970,-22.78
1999.5286630,-21.72
1999.5558290,-20.54
1999.5829950,-19.24
1999.6101610,-17.79
1999.6373280,-16.14
1999.6644940,-14.33
1999.6916600,-12.61
1999.7188260,-11.23
1999.7459920,-10.35
1999.7731580,-10.03
1999.8003240,-10.25
1999.8274910,-10.89
1999.8546570,-11.49
1999.8818230,-11.91
1999.9089890,-12.12
1999.9361550,-12.25
1999.9633210,-12.46
1999.9904880,-12.78
2000.0176050,-13.17
2000.0446970,-13.64
2000.0717890,-14.22
2000.0988810,-14.93
2000.1259730,-15.65
2000.1530650,-16.19
2000.1801570,-16.46
2000.2072490,-16.56
2000.2343410,-16.76
2000.2614330,-17.29
2000.2885250,-18.08
2000.3156170,-18.88
2000.3427090,-19.40
2000.3698010,-19.54
2000.3968920,-19.42
2000.4239840,-19.21
2000.4510760,-18.94
2000.4781680,-18.53
2000.5052600,-17.89
2000.5323520,-17.03
2000.5594440,-16.00
2000.5865360,-14.88
2000.6136280,-13.66
2000.6407200,-12.28
2000.6678120,-10.62
2000.6949040,-8.69
2000.7219960,-6.77
2000.7490880,-5.32
2000.7761790,-4.65
2000.8032710,-4.69
2000.8303630,-5.16
2000.8574550,-5.89
2000.8845470,-6.84
2000.9116390,-7.97
2000.9387310,-9.04
2000.9658230,-9.78
2000.9929150,-10.12
2001.0200620,-10.27
2001.0472280,-10.53
2001.0743940,-10.99
2001.1015600,-11.46
2001.1287260,-11.65
2001.1558920,-11.49
2001.1830590,-11.16
2001.2102250,-10.95
2001.2373910,-11.01
2001.2645570,-11.30
2001.2917230,-11.72
2001.3188890,-12.13
2001.3460550,-12.44
2001.3732220,-12.60
2001.4003880,-12.53
2001.4275540,-12.06
2001.4547200,-11.06
2001.4818860,-9.64
2001.5090520,-8.16
